City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Berlevag,NO,33.75,overcast clouds,70.8578,29.0864,Kvitbrakka
212,Grindavik,IS,48.15,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
213,Solwezi,ZM,57.7,scattered clouds,-12.1688,26.3894,Country Lodge Solwezi
214,Asau,RO,47.32,broken clouds,46.4333,26.4,Casa Mika Ciobanus
226,Macklin,CA,56.19,overcast clouds,52.3334,-109.9348,Macklin Motor Inn
230,Nikolskoye,RU,46.29,overcast clouds,59.7035,30.7861,Tourist House - Sablino
234,Hofn,IS,44.89,light rain,64.2539,-15.2082,Hótel Höfn
236,Grimshaw,CA,53.01,overcast clouds,56.1834,-117.6027,Coast Grimshaw Hotel & Suites
238,Yelizovo,RU,57.34,few clouds,53.1873,158.3805,Kamchatskiy Stil' Hostel
240,Necochea,AR,46.45,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
244,Monroe,US,57.49,overcast clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
245,Narsaq,GL,46.62,scattered clouds,60.9167,-46.05,Sleep In Narsaq
247,Dubbo,AU,42.93,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
251,Haines Junction,CA,50.4,light rain,60.7522,-137.5108,Parkside Inn
252,Chapais,CA,50.88,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
261,Ust-Koksa,RU,53.35,clear sky,50.2696,85.6108,Uymonskaya Dolina
270,Maldonado,UY,55.22,broken clouds,-34.6667,-54.9167,La Cimarrona
273,Caranavi,BO,57.47,overcast clouds,-15.8167,-67.55,Hotel LANDIVAR
277,Touzim,CZ,54.63,few clouds,50.0605,12.9851,Marocco CLUB Toužim
279,Esso,RU,38.66,overcast clouds,55.9333,158.7,Paramushir Tur
280,La Ronge,CA,49.77,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
283,Port Hardy,CA,45.9,moderate rain,50.6996,-127.4199,Airport Inn-Port Hardy
286,Rio Grande,BR,54.95,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
295,Pevek,RU,32.38,light snow,69.7008,170.3133,Severnoye Zoloto
300,Aksha,RU,57.36,broken clouds,50.2814,113.2867,Vizit
309,Klaksvik,FO,47.32,broken clouds,62.2266,-6.589,Airbnb rooms
313,Viedma,AR,46.27,overcast clouds,-40.8135,-62.9967,Hotel Cristal
315,San Carlos De Bariloche,AR,40.24,clear sky,-41.1456,-71.3082,Hotel Patagonia
317,Ketchikan,US,49.59,light rain,55.3422,-131.6461,Snow's Cove Lodge
318,Bad Hall,AT,54.66,clear sky,48.0383,14.2077,Parkhotel Zur Klause
324,Derzhavinsk,KZ,50.43,broken clouds,51.1,66.3167,Ooo.khim Baza
328,Sisimiut,GL,40.53,clear sky,66.9395,-53.6735,Hotel Sisimiut
329,Severo-Kurilsk,RU,46.17,broken clouds,50.6789,156.125,Kak Doma
332,Hailar,CN,56.75,clear sky,49.2,119.7,Holiday Inn & Suites Hulunbuir
333,Rorvik,NO,45.88,overcast clouds,64.8621,11.2373,Kysthotellet Rørvik AS
342,Rosario Do Sul,BR,51.71,broken clouds,-30.2583,-54.9142,Hotel Areias Brancas
346,Leningradskiy,RU,34.77,overcast clouds,69.3833,178.4167,Gostinitsa
347,Noyabrsk,RU,51.13,overcast clouds,63.1994,75.4507,Hotel Uyutnaya
348,Sitka,US,54.37,overcast clouds,57.0531,-135.33,Westmark Sitka
349,Port Lincoln,AU,57.87,clear sky,-34.7333,135.8667,Port Lincoln Hotel
355,Ancud,CL,50.09,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
363,Marfino,RU,46.65,clear sky,55.7028,37.3822,Nemchinovka-Park
368,Vallenar,CL,58.77,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
369,Te Anau,NZ,50.16,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
370,Piskivka,UA,40.89,clear sky,50.6938,29.6193,"Отель ""Странноприимная"""
374,Valdivia,CL,47.71,overcast clouds,-39.8142,-73.2459,Hostal Entre Rios
375,Pinega,RU,32.52,overcast clouds,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
376,Linxia,CN,52.68,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
377,Rawson,AR,55.83,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
